model,method,k,ACC,Error
RF,rf,2,0.6679611650485436,0.33203883495145636
RF,rf,2,0.670388349514563,0.32961165048543695
RF,rf,2,0.6653715395823215,0.33462846041767846
RF,rf,3,0.7679611650485437,0.23203883495145627
RF,rf,3,0.7645631067961165,0.2354368932038835
RF,rf,3,0.7587378640776699,0.24126213592233015
RF,rf,3,0.7441747572815534,0.25582524271844664
RF,rf,3,0.7445361826129189,0.2554638173870811
RF,rf,4,0.7742718446601942,0.22572815533980584
RF,rf,4,0.7640776699029126,0.2359223300970874
RF,rf,4,0.7616504854368932,0.23834951456310682
RF,rf,4,0.746116504854369,0.253883495145631
RF,rf,4,0.7479358912093249,0.2520641087906751
RF,rf,5,0.7902912621359224,0.20970873786407762
RF,rf,5,0.7907766990291262,0.20922330097087383
RF,rf,5,0.7800970873786408,0.2199029126213592
RF,rf,5,0.7582524271844661,0.24174757281553394
RF,rf,5,0.7625060709082079,0.23749392909179212
RF,rf,10,0.8631067961165049,0.13689320388349513
RF,rf,10,0.8577669902912621,0.14223300970873787
RF,rf,10,0.8495145631067961,0.15048543689320393
RF,rf,10,0.8446601941747572,0.15533980582524276
RF,rf,10,0.832442933462846,0.16755706653715396
RF,rf,15,0.954368932038835,0.045631067961165006
RF,rf,15,0.9519417475728156,0.04805825242718442
RF,rf,15,0.9611650485436893,0.03883495145631066
RF,rf,15,0.9436893203883495,0.05631067961165048
RF,rf,15,0.953861097620204,0.04613890237979601
RF,rf,20,0.9626213592233009,0.03737864077669906
RF,rf,20,0.9699029126213592,0.030097087378640808
RF,rf,20,0.9669902912621359,0.03300970873786413
RF,rf,20,0.9616504854368932,0.03834951456310676
RF,rf,20,0.9626032054395337,0.037396794560466295
RF,rf,25,0.9689320388349515,0.031067961165048508
RF,rf,25,0.9728155339805825,0.027184466019417486
RF,rf,25,0.9728155339805825,0.027184466019417486
RF,rf,25,0.9640776699029127,0.03592233009708734
RF,rf,25,0.9660029140359397,0.03399708596406026
RF,rf,50,0.9660194174757282,0.03398058252427183
RF,rf,50,0.9733009708737864,0.02669902912621358
RF,rf,50,0.9718446601941747,0.028155339805825297
RF,rf,50,0.9650485436893204,0.03495145631067964
RF,rf,50,0.9664885866925692,0.03351141330743079
RF,rf,100,0.9694174757281553,0.030582524271844713
RF,rf,100,0.9766990291262136,0.023300970873786353
RF,rf,100,0.9733009708737864,0.02669902912621358
RF,rf,100,0.9728155339805825,0.027184466019417486
RF,rf,100,0.9698882952889752,0.030111704711024756
RF,wv_rf,1,0.5266990291262136,0.4733009708737864
RF,wv_rf,1,0.5179611650485437,0.4820388349514563
RF,wv_rf,1,0.5228155339805826,0.47718446601941744
RF,wv_rf,1,0.5160194174757281,0.4839805825242719
RF,wv_rf,1,0.5065565808644973,0.4934434191355027
RF,wv_rf,2,0.7830097087378641,0.21699029126213587
RF,wv_rf,2,0.7786407766990291,0.2213592233009709
RF,wv_rf,2,0.7786407766990291,0.2213592233009709
RF,wv_rf,2,0.7932038834951456,0.2067961165048544
RF,wv_rf,2,0.7799902865468674,0.22000971345313258
RF,wv_rf,3,0.8058252427184466,0.19417475728155342
RF,wv_rf,3,0.8135922330097087,0.18640776699029127
RF,wv_rf,3,0.7912621359223301,0.20873786407766992
RF,wv_rf,3,0.8101941747572815,0.1898058252427185
RF,wv_rf,3,0.804273919378339,0.19572608062166097
RF,wv_rf,4,0.8305825242718446,0.16941747572815535
RF,wv_rf,4,0.8344660194174758,0.16553398058252422
RF,wv_rf,4,0.816504854368932,0.18349514563106795
RF,wv_rf,4,0.8378640776699029,0.1621359223300971
RF,wv_rf,4,0.8241864983001457,0.17581350169985432
RF,wv_rf,5,0.8281553398058252,0.17184466019417477
RF,wv_rf,5,0.8310679611650486,0.16893203883495145
RF,wv_rf,5,0.8116504854368932,0.18834951456310678
RF,wv_rf,5,0.8344660194174758,0.16553398058252422
RF,wv_rf,5,0.8203011170471103,0.17969888295288972
RF,wv_rf,10,0.9024271844660194,0.09757281553398056
RF,wv_rf,10,0.908252427184466,0.09174757281553403
RF,wv_rf,10,0.8985436893203883,0.1014563106796117
RF,wv_rf,10,0.8951456310679612,0.10485436893203881
RF,wv_rf,10,0.9057795046138902,0.09422049538610977
RF,wv_rf,15,0.9145631067961165,0.08543689320388348
RF,wv_rf,15,0.9106796116504854,0.08932038834951461
RF,wv_rf,15,0.9004854368932039,0.09951456310679607
RF,wv_rf,15,0.904368932038835,0.09563106796116505
RF,wv_rf,15,0.9086935405536668,0.0913064594463332
RF,wv_rf,20,0.9538834951456311,0.04611650485436891
RF,wv_rf,20,0.9490291262135923,0.050970873786407744
RF,wv_rf,20,0.9514563106796117,0.04854368932038833
RF,wv_rf,20,0.945631067961165,0.05436893203883497
RF,wv_rf,20,0.9514327343370568,0.048567265662943226
